LNS-SAT on rank 49 <4,4,4>: delete k=6, solve k-1, timeout 60s, symmetric=False
  try 0: removed 6, unsat (2.0s)
  try 1: removed 6, unsat (5.0s)
  try 2: removed 6, unsat (4.9s)
  try 3: removed 6, unsat (6.3s)
  try 4: removed 6, unsat (4.4s)
  try 5: removed 6, unsat (4.3s)
  try 6: removed 6, unsat (3.9s)
  try 7: removed 6, unsat (6.8s)
  try 8: removed 6, unsat (5.1s)
  try 9: removed 6, unsat (4.3s)
  try 10: removed 6, unsat (4.5s)
  try 11: removed 6, unsat (8.0s)
  try 12: removed 6, unsat (5.6s)
  try 13: removed 6, unsat (6.1s)
  try 14: removed 6, unsat (5.9s)
  try 15: removed 6, unsat (5.6s)
  try 16: removed 6, unsat (5.4s)
  try 17: removed 6, unsat (7.0s)
  try 18: removed 6, unsat (4.1s)
  try 19: removed 6, unsat (7.5s)
  try 20: removed 6, unsat (4.2s)
  try 21: removed 6, unsat (5.0s)
  try 22: removed 6, unsat (5.1s)
  try 23: removed 6, unsat (5.0s)
  try 24: removed 6, unsat (5.1s)
  try 25: removed 6, unsat (4.1s)
  try 26: removed 6, unsat (6.9s)
  try 27: removed 6, unsat (4.7s)
  try 28: removed 6, unsat (6.1s)
  try 29: removed 6, unsat (5.7s)
  try 30: removed 6, unsat (5.9s)
  try 31: removed 6, unsat (5.0s)
  try 32: removed 6, unsat (4.2s)
  try 33: removed 6, unsat (4.6s)
  try 34: removed 6, unsat (4.1s)
  try 35: removed 6, unsat (5.2s)
  try 36: removed 6, unsat (5.8s)
  try 37: removed 6, unsat (5.1s)
  try 38: removed 6, unsat (4.8s)
  try 39: removed 6, unsat (5.4s)
  try 40: removed 6, unsat (8.0s)
  try 41: removed 6, unsat (5.8s)
  try 42: removed 6, unsat (6.3s)
  try 43: removed 6, unsat (6.2s)
  try 44: removed 6, unsat (6.0s)
  try 45: removed 6, unsat (4.7s)
  try 46: removed 6, unsat (4.6s)
  try 47: removed 6, unsat (5.8s)
  try 48: removed 6, unsat (4.0s)
  try 49: removed 6, unsat (4.1s)
  try 50: removed 6, unsat (3.7s)
  try 51: removed 6, unsat (5.3s)
  try 52: removed 6, unsat (5.3s)
  try 53: removed 6, unsat (6.3s)
  try 54: removed 6, unsat (7.8s)
  try 55: removed 6, unsat (10.4s)
  try 56: removed 6, unsat (4.6s)
  try 57: removed 6, unsat (9.6s)
  try 58: removed 6, unsat (5.7s)
  try 59: removed 6, unsat (5.7s)
{"stats": {"sat": 0, "unsat": 60, "timeout": 0}, "seconds": 328.5176434516907}
